Country,Population,% of world,Date,Source (official or from the United Nations)
World,8072060000,1,17 Nov 2023,UN projection
China,1411750000,0.175,31 Dec 2022,Official estimate
India,1392329000,0.172,1 Mar 2023,Official projection
United States,335641000,0.042,17 Nov 2023,National population clock
Indonesia,279118866,0.035,1 Jul 2023,National annual projection
Pakistan,241499431,0.03,1 Mar 2023,2023 census result
Nigeria,216783400,0.027,21 Mar 2022,Official projection
Brazil,203062512,0.025,1 Aug 2022,2022 census result
Bangladesh,169828911,0.021,14 Jun 2022,2022 census result
Russia,146424729,0.018,1 Jan 2023,Official estimate
Mexico,129202482,0.016,30 Jun 2023,National quarterly estimate
Japan,124340000,0.015,1 Oct 2023,Official estimate
Philippines,110753000,0.014,17 Nov 2023,National population clock
Ethiopia,107334000,0.013,1 Jul 2023,National annual projection
Egypt,105562000,0.013,17 Nov 2023,National population clock
Vietnam,100000000,0.012,Apr 2023,Official estimate
DR Congo,95370000,0.012,1 Jul 2019,Official figure
Iran,85372800,0.011,17 Nov 2023,National population clock
Turkey,85279553,0.011,31 Dec 2022,Official estimate
Germany,84482267,0.01,30 Jun 2023,National quarterly estimate
Thailand,68263022,0.008,1 Jul 2021,Official estimate
France,68184000,0.008,1 Sep 2023,Monthly national estimate
United Kingdom,67026292,0.008,30 Jun 2021,Official estimate
South Africa,62027503,0.008,2 Feb 2022,2022 census result
Tanzania,61741120,0.008,23 Aug 2022,2022 census result
Italy,58780965,0.007,31 Jul 2023,Monthly national estimate
Myanmar,55770232,0.007,1 Jul 2022,National annual projection
Colombia,52215503,0.006,30 Jun 2023,Official projection
Kenya,51526000,0.006,1 Jan 2023,Official projection
South Korea,51439038,0.006,31 Dec 2022,Official estimate
Spain,48345223,0.006,1 Jul 2023,Official estimate
Argentina,46654581,0.006,1 Jul 2023,National annual projection
Algeria,45400000,0.006,1 Jan 2022,Official estimate
Iraq,43324000,0.005,1 Jul 2023,Official estimate
Uganda,42885900,0.005,1 Jul 2021,Official projection
Sudan,41984500,0.005,1 Jul 2018,Official projection
Ukraine,41130432,0.005,1 Feb 2022,National monthly estimate
Canada,40097761,0.005,1 Oct 2023,National quarterly estimate
Poland,37691000,0.005,31 Jul 2023,National monthly estimate
Morocco,37154500,0.005,17 Nov 2023,National population clock
Uzbekistan,36599764,0.005,1 Oct 2023,National quarterly estimate
Afghanistan,34262840,0.004,1 Jan 2023,Official estimate
Peru,33396698,0.004,1 Jul 2022,National annual projection
Malaysia,33379500,0.004,30 Jun 2023,National quarterly estimate
Angola,33086278,0.004,30 Jun 2022,National annual projection
Mozambique,32419747,0.004,1 Jul 2022,National annual projection
Saudi Arabia,32175224,0.004,10 May 2022,2022 census result
Yemen,31888698,0.004,1 Jul 2022,Official estimate
Ghana,30832019,0.004,27 Jun 2021,2021 census result
Ivory Coast,29389150,0.004,14 Dec 2021,2021 census result
Nepal,29164578,0.004,25 Nov 2021,2021 census result
Venezuela,28302000,0.004,30 Jun 2019,Official projection
Cameroon,28088845,0.003,1 Jul 2023,National annual projection
Madagascar,26923353,0.003,1 Jul 2021,National annual projection
Australia,26860600,0.003,17 Nov 2023,National population clock
North Korea,25660000,0.003,1 Jul 2021,National annual projection
Niger,25369415,0.003,1 Jul 2023,National annual projection
Taiwan,23399654,0.003,31 Aug 2023,Official estimate
Syria,22923000,0.003,1 Jul 2021,Official estimate
Mali,22395489,0.003,15 Jun 2022,2022 census result
Burkina Faso,22185654,0.003,1 Jul 2022,National projection
Sri Lanka,22037000,0.003,1 Jul 2023,Official estimate
Malawi,21507723,0.003,1 Jul 2022,National annual projection
Kazakhstan,20000000,0.002,14 Nov 2023,National quarterly estimate
Chile,19960889,0.002,30 Jun 2023,National annual projection
Zambia,19610769,0.002,14 Sep 2022,2022 census result
Romania,19051562,0.002,1 Jan 2023,Official estimate
Senegal,18275743,0.002,1 Jul 2023,National annual projection
Somalia,18143379,0.002,1 Jul 2023,UN projection
Netherlands,17962900,0.002,17 Nov 2023,National population clock
Guatemala,17602431,0.002,1 Jul 2023,National annual projection
Chad,17414717,0.002,1 Jul 2022,National annual projection
Cambodia,17091464,0.002,1 Jul 2023,Official projection
Ecuador,16938986,0.002,1 Oct 2022,2022 census result
Zimbabwe,15178979,0.002,20 Apr 2022,2022 census result
Guinea,13261638,0.002,1 Jul 2022,National annual projection
South Sudan,13249924,0.002,1 Jul 2020,National annual projection
Rwanda,13246394,0.002,15 Aug 2022,2022 census result
Burundi,12837740,0.002,1 Jul 2022,National annual projection
Benin,12606998,0.002,1 Jul 2023,National annual projection
Bolivia,12006031,0.001,1 Jul 2022,National annual projection
Tunisia,11850232,0.001,1 Jan 2023,National estimate
Papua New Guinea,11781559,0.001,1 Jul 2021,National estimate
Belgium,11772639,0.001,1 Aug 2023,Official estimate
Haiti,11743017,0.001,1 Jul 2020,National annual projection
Jordan,11508100,0.001,17 Nov 2023,National population clock
Cuba,11089511,0.001,31 Dec 2022,Official estimate
Czech Republic,10873553,0.001,30 Jun 2023,Official estimate
Dominican Republic,10760028,0.001,10 Nov 2022,2022 census result
Sweden,10557822,0.001,1 Oct 2023,Monthly national estimate
Greece,10482487,0.001,22 Oct 2021,2021 census result
Portugal,10467366,0.001,31 Dec 2022,2022 estimate
Azerbaijan,10151517,0.001,1 Jul 2023,Monthly national estimate
Tajikistan,10077600,0.001,1 Jan 2023,Official estimate
Israel,9802400,0.001,30 Sep 2023,National monthly estimate
Honduras,9745149,0.001,1 Jul 2023,National annual projection
Hungary,9597085,0.001,1 Jan 2023,Official estimate
United Arab Emirates,9282410,0.001,31 Dec 2020,Official estimate
Belarus,9200617,0.001,1 Jan 2023,Official estimate
Austria,9129652,0.001,1 Jul 2023,National quarterly estimate
Switzerland,8902308,0.001,30 Jun 2023,National quarterly estimate
Sierra Leone,8494260,0.001,1 Jul 2022,National annual projection
Togo,8095498,0.001,8 Nov 2022,2022 census result
Hong Kong (China),7498100,0.0009,30 Jun 2023,National estimate
Laos,7443000,0.0009,1 Jul 2022,National annual projection
Kyrgyzstan,7100000,0.0009,1 Mar 2023,Monthly national estimate
Turkmenistan,7057841,0.0009,17 Dec 2022,2022 census result
Libya,6931061,0.0009,1 Jan 2020,Official estimate
El Salvador,6884888,0.0009,1 Jul 2022,National annual projection
Nicaragua,6733763,0.0008,30 Jun 2022,Official estimate
Serbia,6641197,0.0008,1 Jan 2023,Official estimate
Bulgaria,6447710,0.0008,31 Dec 2022,Official annual estimate
Paraguay,6109644,0.0008,10 Nov 2022,Preliminary census result
Congo,6106869,0.0008,1 Jul 2023,UN projection
Denmark,5959464,0.0007,1 Oct 2023,National quarterly estimate
Singapore,5917600,0.0007,30 Jun 2023,Official estimate
Central African Republic,5633412,0.0007,1 Jul 2020,National annual projection
Finland,5563852,0.0007,30 Sep 2023,Monthly national estimate
Norway,5533582,0.0007,30 Sep 2023,National quarterly estimate
Lebanon,5490000,0.0007,1 Jul 2021,Official estimate
Palestine,5483450,0.0007,1 Jan 2023,National annual projection
Slovakia,5426352,0.0007,30 Jun 2023,National quarterly estimate
Ireland,5281600,0.0007,1 Apr 2023,National estimate
Costa Rica,5262225,0.0007,30 Jun 2023,National annual projection
Liberia,5248621,0.0007,10 Nov 2022,2022 census result
New Zealand,5223100,0.0006,30 Jun 2023,National quarterly estimate
Oman,5113071,0.0006,31 Aug 2023,Monthly national estimate
Kuwait,4670713,0.0006,31 Dec 2020,Official estimate
Mauritania,4475683,0.0006,1 Jul 2023,National annual projection
Panama,4337406,0.0005,1 Jul 2021,National annual projection
Croatia,3855641,0.0005,1 Jul 2022,Official estimate
Eritrea,3748902,0.0005,1 Jul 2023,UN projection
Georgia,3736400,0.0005,1 Jan 2023,Official estimate
Uruguay,3566550,0.0004,30 Jun 2023,National annual projection
Mongolia,3457548,0.0004,31 Dec 2022,National annual projection
Bosnia and Herzegovina,3277082,0.0004,1 Jul 2022,Official estimate
Puerto Rico (US),3221789,0.0004,1 Jul 2022,Annual projection
Armenia,2981200,0.0004,1 Jan 2023,National quarterly estimate
Lithuania,2866965,0.0004,1 Sep 2023,Monthly national estimate
Jamaica,2825544,0.0004,1 Jul 2019,National projection
Albania,2761785,0.0003,1 Jan 2023,Official estimate
Qatar,2656032,0.0003,30 Jun 2023,Monthly national estimate
Namibia,2641857,0.0003,1 Jul 2023,National annual projection
Moldova,2512758,0.0003,1 Jan 2023,Official estimate
Gambia,2417471,0.0003,1 Jul 2022,National projection
Botswana,2410338,0.0003,1 Jul 2021,National annual projection
Lesotho,2306000,0.0003,1 Jul 2023,Official projection
Gabon,2233272,0.0003,1 Jul 2021,National annual projection
Slovenia,2117674,0.0003,1 Apr 2023,National quarterly estimate
Latvia,1882000,0.0002,1 Aug 2023,Monthly national estimate
North Macedonia,1832696,0.0002,1 Nov 2021,2021 census result
Guinea-Bissau,1781308,0.0002,1 Jul 2023,National annual projection
Kosovo,1773971,0.0002,31 Dec 2021,Official estimate
Bahrain,1577059,0.0002,1 Jul 2023,Official estimate
Equatorial Guinea,1558160,0.0002,1 Jul 2022,Official estimate
Estonia,1365884,0.0002,1 Jan 2023,Official estimate
Trinidad and Tobago,1365805,0.0002,30 Jun 2022,Official estimate
East Timor,1354662,0.0002,1 Jul 2023,National annual projection
Mauritius,1261041,0.0002,30 Jun 2023,National estimate
Eswatini,1223362,0.0002,1 Jul 2023,Official projection
Djibouti,1001454,0.0001,1 Jul 2022,National projection
Cyprus,918100,0.0001,1 Oct 2021,2021 census result
Fiji,893468,0.0001,1 Jul 2021,National annual projection
Bhutan,770276,0.0001,2023,National annual projection
Comoros,758316,0.00009,15 Dec 2017,2017 census result
Guyana,743699,0.00009,1 Jul 2019,Official estimate
Solomon Islands,734887,0.00009,1 Jul 2023,National annual projection
Macau (China),678800,0.00008,30 Jun 2023,National quarterly estimate
Luxembourg,660809,0.00008,1 Jan 2023,Official estimate
Montenegro,616695,0.00008,1 Jan 2023,National annual estimate
Suriname,616500,0.00008,1 Jul 2021,Official estimate
Western Sahara,587259,0.00007,1 Jul 2023,UN projection
Malta,519562,0.00006,21 Nov 2021,2021 census result
Cape Verde,491233,0.00006,16 Jun 2021,2021 census result
Brunei,445400,0.00006,1 Jul 2022,Official estimate
Belize,441471,0.00005,1 Jul 2022,Official estimate
Bahamas,397360,0.00005,1 Jul 2022,National annual projection|
Iceland,396960,0.00005,1 Oct 2023,National quarterly estimate
Northern Cyprus,382836,0.00005,31 Dec 2020,Official estimate
Maldives,382751,0.00005,13 Sep 2022,2022 census result
Transnistria,360938,0.00004,31 Dec 2022,Official estimate
Vanuatu,301295,0.00004,1 Jul 2021,National annual projection
French Polynesia (France),279890,0.00003,1 Jul 2021,National annual projection
New Caledonia (France),268510,0.00003,1 Jan 2023,National annual projection
Barbados,267800,0.00003,31 Dec 2022,Official estimate|
Abkhazia,244236,0.00003,1 Jan 2022,Official estimate
São Tomé and Príncipe,214610,0.00003,1 Jul 2021,National annual projection
Samoa,205557,0.00003,6 Nov 2021,Census 2021
Saint Lucia,178696,0.00002,1 Jul 2018,Official estimate
Guam (US),153836,0.00002,1 Apr 2020,2020 census result
Curacao (Netherlands),148925,0.00002,1 Jan 2023,Official estimate
Artsakh,148900,0.00002,1 Oct 2019,Official estimate
Kiribati,120740,0.00001,1 Jul 2021,National annual projection
Grenada,112579,0.00001,1 Jul 2019,Official estimate
Saint Vincent and the Grenadines,110872,0.00001,1 Jul 2022,Official estimate
Aruba (Netherlands),106739,0.00001,30 Sep 2022,National quarterly estimate
Micronesia,105754,0.00001,1 Jul 2021,National annual projection
Jersey (UK),103267,0.00001,21 Mar 2021,2021 census result
Antigua and Barbuda,100772,0.00001,1 Jan 2022,National annual estimate
Seychelles,100447,0.00001,22 Apr 2022,2022 Census
Tonga,100179,0.00001,1 Jan 2022,National annual estimate
US Virgin Islands (US),87146,0.00001,1 Apr 2020,2020 census result
Isle of Man (UK),84069,0.00001,30 May 2021,2021 census result
Andorra,83523,0.00001,30 Jun 2023,Official estimate
Cayman Islands (UK),71105,0.000009,30 Sep 2020,2021 Census
Dominica,67408,0.000008,31 Dec 2017,Official estimate
Guernsey (UK),64234,0.000008,30 Sep 2022,National quarterly estimate
Bermuda (UK),64055,0.000008,1 Jul 2021,National annual projection
Greenland (Denmark),56865,0.000007,1 Jul 2023,National quarterly estimate
South Ossetia,56520,0.000007,31 Dec 2021,Official estimate
Faroe Islands (Denmark),54738,0.000007,1 Aug 2023,Monthly national estimate
American Samoa (US),49710,0.000006,1 Apr 2020,2020 census result
Northern Mariana Islands (US),47329,0.000006,1 Apr 2020,2020 census result
Saint Kitts and Nevis,47195,0.000006,15 May 2011,2011 census result
Turks and Caicos Islands (UK),46131,0.000006,1 Jul 2021,Official estimate
Sint Maarten (Netherlands),42938,0.000005,1 Jan 2023,Official estimate
Marshall Islands,42418,0.000005,30 Sep 2021,2021 Census
Liechtenstein,39680,0.000005,31 Dec 2022,National estimate
Monaco,39050,0.000005,31 Dec 2022,Official estimate
Gibraltar (UK),34003,0.000004,1 Jul 2016,Official figure
San Marino,33881,0.000004,31 Jul 2023,Monthly national estimate
Saint Martin (France),32358,0.000004,1 Jan 2020,Official estimate
British Virgin Islands (UK),31538,0.000004,1 Jul 2023,UN projection
Åland (Finland),30532,0.000004,31 Aug 2023,Monthly national estimate
Palau,16733,0.000002,1 Jul 2021,2021 Census
Anguilla (UK),15701,0.000002,31 Dec 2021,Official estimate
Cook Islands,15040,0.000002,1 Jul 2021,2021 Census
Nauru,11832,0.000001,1 Jul 2021,National annual projection
Wallis and Futuna (France),11369,0.000001,1 Jan 2021,National annual projection
Tuvalu,10679,0.000001,1 Jul 2021,National annual projection
Saint Barthélemy (France),10585,0.000001,1 Jan 2020,Official estimate
